source_index,source_file,global_request_id,依頼No.,項目名,項目No.,測光ﾎﾟｰﾄ,処理値,時間,吸光度
1,240517_calCSV_data.csv,1_C011,C011,TAT206,41,19,22.7,27.2,11820.0
1,240517_calCSV_data.csv,1_C011,C011,TAT206,41,19,22.7,36.0,11838.0
1,240517_calCSV_data.csv,1_C011,C011,TAT206,41,19,22.7,45.2,11864.0
1,240517_calCSV_data.csv,1_C011,C011,TAT206,41,19,22.7,54.0,11893.0
1,240517_calCSV_data.csv,1_C011,C011,TAT206,41,19,22.7,63.2,11913.0
1,240517_calCSV_data.csv,1_C011,C011,TAT206,41,19,22.7,72.0,11940.0
1,240517_calCSV_data.csv,1_C011,C011,TAT206,41,19,22.7,81.2,11971.0
1,240517_calCSV_data.csv,1_C011,C011,TAT206,41,19,22.7,90.0,11998.0
1,240517_calCSV_data.csv,1_C011,C011,TAT206,41,19,22.7,99.2,12029.0
1,240517_calCSV_data.csv,1_C011,C011,TAT206,41,19,22.7,108.0,12060.0
1,240517_calCSV_data.csv,1_C011,C011,TAT206,41,19,22.7,117.2,12094.0
1,240517_calCSV_data.csv,1_C011,C011,TAT206,41,19,22.7,126.0,12132.0
1,240517_calCSV_data.csv,1_C011,C011,TAT206,41,19,22.7,135.2,12167.0
1,240517_calCSV_data.csv,1_C011,C011,TAT206,41,19,22.7,144.0,12201.0
1,240517_calCSV_data.csv,1_C011,C011,TAT206,41,19,22.7,153.2,12237.0
1,240517_calCSV_data.csv,1_C011,C011,TAT206,41,19,22.7,162.0,12272.0
1,240517_calCSV_data.csv,1_C011,C011,TAT206,41,19,22.7,171.2,12312.0
1,240517_calCSV_data.csv,1_C011,C011,TAT206,41,19,22.7,180.0,12343.0
1,240517_calCSV_data.csv,1_C012,C012,TAT206,41,20,21.2,0.0,11656.0
1,240517_calCSV_data.csv,1_C012,C012,TAT206,41,20,21.2,9.2,11665.0
1,240517_calCSV_data.csv,1_C012,C012,TAT206,41,20,21.2,18.0,11682.0
